vaccine,year,month,number,total_vaccinations
Moderna,2020,12,1,272
Moderna,2021,1,2,150143873
Moderna,2021,2,3,718255514
Moderna,2021,3,4,1816313599
Moderna,2021,4,5,3053483982
Moderna,2021,5,6,4348984861
Moderna,2021,6,7,5356440661
Moderna,2021,7,8,6346409877
Moderna,2021,8,9,7190772409
Moderna,2021,9,10,7379072451
Moderna,2021,10,11,8179936972
Moderna,2021,11,12,8020449643
Moderna,2021,12,13,10388896787
Moderna,2022,1,14,12780290484
Moderna,2022,2,15,13017903827
Moderna,2022,3,16,14324792409
