vaccine,year,month,number,total_vaccinations
Pfizer/BioNTech,2020,12,1,1435939
Pfizer/BioNTech,2021,1,2,481056504
Pfizer/BioNTech,2021,2,3,1720579290
Pfizer/BioNTech,2021,3,4,3879676488
Pfizer/BioNTech,2021,4,5,7106245897
Pfizer/BioNTech,2021,5,6,12081905596
Pfizer/BioNTech,2021,6,7,17470055640
Pfizer/BioNTech,2021,7,8,24146504132
Pfizer/BioNTech,2021,8,9,26567828364
Pfizer/BioNTech,2021,9,10,27805405528
Pfizer/BioNTech,2021,10,11,31217753677
Pfizer/BioNTech,2021,11,12,31751231688
Pfizer/BioNTech,2021,12,13,37550948867
Pfizer/BioNTech,2022,1,14,40907911386
Pfizer/BioNTech,2022,2,15,39493630019
Pfizer/BioNTech,2022,3,16,42653786022
