location,CanSino,Covaxin,Johnson&Johnson,Moderna,Novavax,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sinovac,Sputnik V
Argentina,53950431.0,,,893386753.0,,5618580845.0,1307660776.0,5713239160.0,,5092133323.0
Austria,,,12638945.0,54368867.0,11819.0,73727783.0,455767345.0,,,
Belgium,,,16211133.0,93544743.0,107.0,125666286.0,598973594.0,,,
Bulgaria,,,11980645.0,15604779.0,,23520124.0,83132765.0,,,
Chile,153505458.0,,,,,151301657.0,2205675502.0,,7421275115.0,
Croatia,,,5382836.0,17832131.0,479.0,26392368.0,130860566.0,,,
Cyprus,,,916815.0,4782633.0,59.0,11399329.0,37964572.0,,,
Czechia,,,82930909.0,355239180.0,41996.0,225224888.0,3441540352.0,,,
Denmark,,,1947563.0,52522573.0,,8301687.0,347598773.0,,,
Ecuador,63941786.0,,,,,574052784.0,1399258319.0,,2561851981.0,
Estonia,,,2382223.0,7100996.0,207.0,11511797.0,49429538.0,,,
European Union,,3506.0,4519774120.0,24391892210.0,2066859.0,21700612979.0,141033652111.0,743871062.0,517529.0,627748875.0
Finland,,,0.0,48018056.0,,26767011.0,299124833.0,,,
France,,,297842557.0,4074001408.0,,2579871808.0,25225323599.0,,,
Germany,,,920528925.0,4719169604.0,1348545.0,4188138667.0,29153644591.0,,,
Hong Kong,,,,,,,1643527440.0,,1041141850.0,
Hungary,,,9331140.0,37861280.0,,58475246.0,313978457.0,104585761.0,,67080457.0
Iceland,,,4913.0,354840.0,,72.0,4200838.0,,,
Ireland,,,8756933.0,32164392.0,,44312266.0,261046056.0,,,
Italy,,,422077107.0,4925953675.0,507902.0,2425776682.0,20532273075.0,,,
Japan,,,,141520769.0,,,3768902151.0,,,
Latvia,,,57263855.0,124443464.0,2189.0,61608482.0,352811481.0,356.0,38.0,
Liechtenstein,,,4646.0,1543114.0,,,751299.0,,,
Lithuania,,,8440297.0,12241467.0,,24028431.0,109774321.0,,,
Luxembourg,,,1596563.0,5942258.0,532.0,4841859.0,25160627.0,,,
Malta,,,1202381.0,4502141.0,,10638619.0,26244064.0,,,
Nepal,,,111881271.0,181257522.0,,353090586.0,19844895.0,677156432.0,,
Netherlands,,,34045991.0,134704274.0,323.0,129702484.0,818084203.0,,,
Norway,,,261475.0,62228318.0,,8044875.0,286057667.0,,,
Peru,,,,,,724118957.0,6157882794.0,3638123263.0,,
Poland,,,88373190.0,148039463.0,11067.0,245217819.0,1342428965.0,,,
Portugal,,66.0,39062254.0,91174355.0,0.0,95935231.0,475609939.0,30483.0,65022.0,
Romania,,,373761837.0,284688556.0,,203089972.0,3290244599.0,,,
Slovakia,,,4577868.0,24064593.0,660.0,23196068.0,171778830.0,,,380544.0
Slovenia,,,4084514.0,9077059.0,51.0,13545944.0,72565218.0,,,
South Africa,,,200556707.0,,,,620315364.0,,,
South Korea,,,410805917.0,3442773205.0,4275195.0,5415624217.0,12513036835.0,,,
Spain,,,78244155.0,508417103.0,,431619184.0,2244536959.0,,,
Sweden,,,,85866689.0,123.0,61197360.0,482093272.0,,,
Switzerland,,,7809174.0,2327225656.0,,,1356913532.0,,,
Ukraine,,,3987506.0,463753358.0,,745131802.0,1810085190.0,,1334709122.0,
United States,,,4872709516.0,55294886137.0,,,79776473000.0,,,
Uruguay,,,,,,27243328.0,589726730.0,,1047602618.0,
